Gene	K562 CS	K562 adjusted p-value
PPM1F	-3.946	0.000299041
TBCC	-3.945	0.000759554
PES1	-3.940	0.000642943
GOLGA6L1	-3.939	0.004836419
CCT3	-3.938	2.69E-05
CDC20	-3.933	0.000752398
ZBTB8OS	-3.931	0.002663714
DHX8	-3.930	8.33E-05
SCD	-3.924	2.69E-05
EXOSC4	-3.918	0.000340147
RSL24D1	-3.918	0.001126627
CAD	-3.900	3.04E-05
PFN1	-3.896	0.000128136
SOS1	-3.892	0.000113799
RPS17	-3.887	0.000211641
RPS17L	-3.887	0.000211641
RPL9	-3.886	0.000160235
RPL11	-3.882	0.000217406
QARS	-3.880	2.69E-05
SNAPC4	-3.877	0.003060279
GINS2	-3.873	0.00042317
ATP6V1B2	-3.872	0.000969381
DTL	-3.868	0.000101664
RABGGTB	-3.866	0.000140079
PSMB6	-3.864	0.000103942
POLA2	-3.862	0.006068334
RNGTT	-3.859	0.000467768
EIF5	-3.853	0.018585646
TFRC	-3.846	0.000737603
PELP1	-3.839	0.000249673
RFC2	-3.838	0.00055395
ATP6V0B	-3.814	0.004518128
MRPS16	-3.805	0.000133743
RPL6	-3.805	0.000733975
TBL3	-3.805	0.001412954
POLR2G	-3.802	0.008750712
GTF3C2	-3.794	0.006832142
COPE	-3.793	0.000306411
DHODH	-3.792	3.76E-05
POLR3H	-3.790	6.32E-05
GRB2	-3.783	0.003847208
RPS9	-3.780	8.92E-05
TARS	-3.778	0.002032399
GAB2	-3.776	3.76E-05
SFPQ	-3.774	7.12E-05
SNRPD3	-3.772	0.000515354
CENPM	-3.767	2.69E-05
RPL13A	-3.766	0.001657084
LRR1	-3.760	0.000124064
POLE2	-3.759	0.002642539
POLR2J	-3.755	7.28E-05
RBM14	-3.754	0.00016197
RBM14-RBM4	-3.754	0.00016197
CDT1	-3.741	0.002406665
USP39	-3.737	0.00029248
NSF	-3.733	0.000385866
IARS2	-3.725	7.84E-05
PCID2	-3.715	0.00012157
RPP21	-3.714	8.92E-05
WDR83	-3.707	0.000164761
SDF2L1	-3.705	0.000469163
DDX23	-3.703	0.000754353
RPS11	-3.697	7.04E-05
NCBP2	-3.696	5.01E-05
RPL5	-3.694	0.000269734
RFC3	-3.691	0.000213687
VPS28	-3.690	0.000312913
TUBGCP2	-3.686	2.69E-05
INCENP	-3.680	3.04E-05
MTHFD1	-3.672	0.000128136
SS18L2	-3.672	0.001975287
EIF3G	-3.671	0.000211641
GNAZ	-3.664	7.04E-05
RBM8A	-3.660	0.000929586
CDK1	-3.655	0.00112142
POLR1A	-3.654	3.76E-05
PFAS	-3.649	0.001938235
EEF1A1	-3.643	0.008952291
DKC1	-3.643	0.001016198
FAM50A	-3.642	0.005654892
FAU	-3.637	0.000616283
OGDH	-3.631	0.000190841
NOP58	-3.629	4.04E-05
POLR2I	-3.628	0.001716894
PGAM1	-3.625	0.00119764
PAK1IP1	-3.622	0.004122052
EXOSC6	-3.618	0.00184887
EIF3D	-3.615	0.000156193
FLVCR1	-3.610	0.048510852
PSMC3	-3.608	3.27E-05
KPNB1	-3.607	0.000211641
ARVCF	-3.602	3.76E-05
RPL17	-3.595	0.001413213
DNM1L	-3.592	0.00029248
DHX35	-3.586	0.00094894
SSU72	-3.579	0.000772618
EIF4A1	-3.573	0.00021539
HINFP	-3.568	4.31E-05
EIF2B3	-3.565	0.001099076
SRSF3	-3.564	8.92E-05
VARS	-3.557	0.000181549
WDR74	-3.552	0.000591819
BUB3	-3.552	0.00029248
NRF1	-3.549	0.000187957
GMPPB	-3.545	0.000726874
MCM2	-3.545	0.001235849
RPL37A	-3.540	0.000126543
RPS23	-3.535	0.001529991
DNAJC17	-3.533	0.000660034
ZNHIT2	-3.528	0.001937304
NCAPH	-3.528	0.000501797
PWP2	-3.526	0.002392395
PFDN6	-3.524	0.001015766
RRM2	-3.523	0.012076492
TTI1	-3.523	7.42E-05
MED15	-3.520	0.0001809
KRI1	-3.512	0.002441308
RPS15A	-3.510	3.89E-05
CCT2	-3.507	0.000211641
ARL2	-3.506	0.000106196
EIF2B1	-3.505	0.000211641
MCM3	-3.494	0.021053814
RPL27A	-3.494	0.001154606
HSD17B12	-3.492	0.000273983
DDX20	-3.490	0.000182863
ORAOV1	-3.485	0.000108879
RPL3	-3.483	3.04E-05
CPSF2	-3.482	0.000217406
GUK1	-3.482	0.001821614
LSM2	-3.480	7.04E-05
NVL	-3.479	0.000318796
GRPEL1	-3.478	0.000402639
MAT2A	-3.472	0.000718437
SF1	-3.466	0.000517044
RPL12	-3.466	0.001394912
FARSB	-3.465	0.000370183
MRPL4	-3.463	0.000429608
ZDHHC8	-3.463	0.009392585
ANAPC11	-3.459	0.000146613
RPL23	-3.456	0.000327304
FPGS	-3.451	0.000190498
NDC80	-3.451	0.001478521
SRBD1	-3.444	0.005471282
XRCC6	-3.439	0.00267819
DOLK	-3.436	0.001342029
WDR61	-3.433	8.65E-05
GPN3	-3.432	3.76E-05
RPL14	-3.428	0.000584984
MRP63	-3.422	0.000133488
C9orf114	-3.418	0.002663714
NGDN	-3.415	0.000402639
PPP4C	-3.412	0.000816464
POLR2E	-3.410	0.003473802
GTF3C1	-3.408	0.001225599
SNRPB	-3.407	0.002406665
RPL37	-3.406	0.000485173
EIF5B	-3.403	0.003442291
NUP85	-3.402	0.000249673
MEN1	-3.393	0.00214858
CCT5	-3.391	0.000207703
COA5	-3.386	0.004532175
PRMT5	-3.382	3.76E-05
NOP2	-3.374	0.001121005
RFC5	-3.373	0.007546302
C21orf59	-3.373	0.000126623
TRAPPC1	-3.372	0.000519608
RPS20	-3.372	0.016974973
RPS10	-3.371	0.003814748
ZNF622	-3.371	0.016974973
PRPF6	-3.368	0.002297352
CENPA	-3.362	0.020143646
POLR2J2	-3.361	0.002127306
ATP6V1D	-3.356	0.005568091
YPEL1	-3.355	0.00149
RPL38	-3.354	0.006521391
SF3A1	-3.351	0.000578044
EIF2B2	-3.346	0.003165154
PSMC6	-3.344	0.000259668
CHERP	-3.339	0.012812722
RPL24	-3.338	0.004532455
NHP2L1	-3.335	0.000187957
UBE2M	-3.333	0.001977963
PSMD14	-3.332	0.026957429
DDX47	-3.330	0.001751859
XAB2	-3.329	0.003589701
WDR3	-3.329	0.000153345
WBSCR22	-3.327	0.001227219
LAMC3	-3.324	0.000131222
TELO2	-3.317	0.008247234
PSMB7	-3.316	0.002604271
SAE1	-3.305	0.000719293
PSMB4	-3.301	0.000429545
ADSL	-3.300	0.00209771
EIF3CL	-3.298	0.000376072
PSMB3	-3.298	0.000300952
PPP1CB	-3.297	0.003026418
PSMA7	-3.297	2.69E-05
RPL27	-3.293	0.000316809
MCM5	-3.289	0.007557358
PRC1	-3.288	0.005471282
CARS	-3.282	0.000514538
MARS2	-3.279	0.002532832
MED11	-3.278	0.000269734
ABCE1	-3.276	0.001114023
KLHL22	-3.276	0.000140079
RPL35	-3.274	0.00029188
GAPDH	-3.271	0.000834688
HIST2H3D	-3.269	0.000221576
SARS2	-3.260	0.00267819
KIF11	-3.259	6.72E-05
TPX2	-3.256	0.000170594
TCP1	-3.253	0.002355522
DHDDS	-3.252	0.000235483
ERCC2	-3.250	8.37E-05
DNLZ	-3.250	0.002815887
DDX46	-3.248	0.001718383
LMO2	-3.247	0.001227219
PUF60	-3.246	0.001784265
GRWD1	-3.245	0.000660034
WEE1	-3.244	0.000738155
MED30	-3.237	0.000666217
NUTF2	-3.236	0.000524891
VPS52	-3.235	0.000754353
UBE2L3	-3.230	0.000120428
DDX56	-3.228	0.001660366
HSPD1	-3.224	0.001272853
UBE2N	-3.224	0.000938075
EIF2S2	-3.222	0.000269734
RPLP0	-3.217	0.000466499
CDC23	-3.214	0.000507745
PSMG3	-3.213	0.000667007
HIST2H3A	-3.206	0.003824527
HIST2H3C	-3.206	0.003824527
HIRA	-3.206	4.66E-05
HMGCS1	-3.196	0.001160653
CDC123	-3.196	0.002127306
NBPF10	-3.191	0.006689907
BYSL	-3.187	0.000461281
UPF1	-3.186	0.00136335
IGLL5	-3.185	0.001789474
FARSA	-3.184	3.04E-05
WARS	-3.183	0.000256974
DDX18	-3.182	0.000269734
PPAT	-3.180	9.65E-05
HCFC1	-3.179	0.035523038
FNTB	-3.170	0.0006432
SLMO2	-3.168	0.001978615
EIF2S3	-3.167	0.011839937
UBL5	-3.165	0.000483464
SMG5	-3.160	0.002939469
CFL1	-3.158	0.000340289
BIRC5	-3.154	0.000467768
CDC27	-3.137	0.131178123
NAA25	-3.130	0.000273483
MED17	-3.127	0.00047209
MED20	-3.122	0.001543443
MYBBP1A	-3.119	0.000420524
CKAP5	-3.112	8.92E-05
MTPAP	-3.110	9.94E-05
BUD31	-3.107	0.001657084
UBA1	-3.107	0.000229595
U2AF2	-3.105	0.001644355
PLA2G4E	-3.104	0.083182098
EIF3C	-3.104	0.004247532
NDOR1	-3.100	0.000164849
PNKP	-3.094	0.001715035
CTAGE9	-3.094	0.000969613
TWISTNB	-3.093	0.002610259
DDX27	-3.092	0.063471599
IMPDH2	-3.091	0.002205318
AURKB	-3.090	0.000752398
SPATA5L1	-3.087	0.000476419
EPRS	-3.084	0.005568091
POLR2F	-3.081	0.005524491
EXOSC5	-3.081	0.000531232
ZMAT2	-3.079	0.009350045
CPSF1	-3.079	0.000256974
CLNS1A	-3.077	0.01573437
CPSF3	-3.077	0.000153345
NAMPT	-3.077	0.007009866
SNRPD2	-3.076	0.012162023
CCT7	-3.072	0.001446186
DIS3	-3.071	0.000816464
ISG20L2	-3.068	0.000519608
OSGEP	-3.062	0.005626224
RPL4	-3.059	0.002457632
DHX33	-3.059	0.005661067
NOB1	-3.058	0.001848113
DONSON	-3.057	0.003712006
SEC61A1	-3.053	0.001117741
GEMIN5	-3.050	0.013866702
RPL31	-3.049	0.000632128
HEATR1	-3.045	0.012334228
UBA52	-3.042	0.008273413
NUP160	-3.040	0.00135666
COX15	-3.040	0.00096188
ATP6V1E1	-3.037	0.025250038
SF3B4	-3.035	0.001875182
VCP	-3.035	0.000164849
NEDD8	-3.034	0.000233046
TANGO6	-3.033	0.001866989
SNRNP70	-3.032	0.010446622
ATP5D	-3.025	7.04E-05
DGCR8	-3.021	0.000707873
MYT1L	-3.021	0.033039886
THG1L	-3.016	0.005849509
CYCS	-3.016	0.001235849
NIP7	-3.005	0.001866989
RANGAP1	-3.002	0.022141204
ZNF259	-2.998	3.87E-05
INTS5	-2.998	0.002365303
CIRH1A	-2.998	0.000503351
ATP1A1	-2.994	3.76E-05
CHMP2A	-2.993	0.000314382
PPCDC	-2.992	8.76E-05
GNB2L1	-2.991	2.69E-05
CHKA	-2.989	0.028844576
TSR2	-2.983	0.008664226
TIMELESS	-2.979	0.002274784
CACTIN	-2.978	0.016270027
DHX30	-2.977	0.00148232
AHCY	-2.970	0.000135745
PLK1	-2.970	0.000312913
EP300	-2.966	7.04E-05
CCT4	-2.966	0.004831402
HMGCR	-2.963	0.000719293
RPP14	-2.957	0.001212878
WDR18	-2.955	0.001139043
TP53RK	-2.955	0.001644355
GTF2B	-2.950	0.001255151
WDR77	-2.947	0.000737603
CHMP6	-2.947	0.010998787
GTPBP4	-2.946	0.002274784
MAK16	-2.944	0.000649571
ACTL6A	-2.944	0.047467695
SF3B2	-2.943	0.000726874
TICRR	-2.941	0.027598038
PABPN1	-2.939	0.005078766
SF3A2	-2.937	0.018036692
EIF1AD	-2.936	0.000523976
GTF2H3	-2.936	0.000374784
PGK1	-2.933	0.000383413
HNRNPU	-2.932	0.00029248
NUDT21	-2.929	0.001270856
CBWD3	-2.929	0.001225599
CBWD5	-2.929	0.001225599
AARS	-2.924	0.003508845
MAU2	-2.922	0.001857507
DIEXF	-2.922	0.027116397
TRMT2A	-2.918	0.019119923
RTFDC1	-2.918	0.007662068
TARS2	-2.917	0.000113799
ATP6V1F	-2.912	0.059838801
CCDC94	-2.912	0.000541126
NUP93	-2.911	0.005129431
PPP2R1A	-2.910	0.00751558
TRRAP	-2.910	0.000185059
RTCB	-2.906	0.000454226
BANF1	-2.906	0.003502134
POLE	-2.905	0.000486894
EIF3I	-2.904	0.002026211
MYB	-2.902	0.007617389
CSE1L	-2.900	0.004316497
SNAPC5	-2.899	0.008683877
ACTR10	-2.899	0.008095609
RBM17	-2.897	0.000680873
XRCC5	-2.896	0.009581414
NOP16	-2.895	0.002807289
POLD2	-2.895	0.000675671
CSNK2B	-2.894	0.002404804
PRELID1	-2.894	0.003527819
PHB	-2.892	0.000434949
NOL9	-2.886	0.013338242
RPS27A	-2.885	0.000211641
MYC	-2.884	0.010834136
CCT6A	-2.882	0.006588042
KARS	-2.876	0.000641142
SPC24	-2.872	0.012778019
RBX1	-2.870	0.002205318
TOP3B	-2.869	2.69E-05
TXNRD2	-2.858	0.000307786
POLR2D	-2.856	0.009310979
NOC2L	-2.855	0.004381353
PCYT1A	-2.853	0.003710854
RPL30	-2.853	0.004316497
NPIPA1	-2.848	0.047371797
DDX10	-2.847	0.008558274
MED22	-2.843	0.000934989
PSMC4	-2.836	3.53E-05
PRMT1	-2.835	0.000128136
PSMA3	-2.831	0.000885483
TIMM13	-2.830	0.040818622
C22orf29	-2.826	0.0003001
NARFL	-2.825	0.000221576
ANAPC5	-2.823	0.000452808
GTF3A	-2.818	0.015572111
NRDE2	-2.814	0.000690193
TPT1	-2.812	0.000429608
SDHA	-2.810	0.001747341
LDB1	-2.808	0.000879251
WDR12	-2.804	0.000449523
RARS	-2.802	0.022039189
IMP4	-2.802	0.000164849
RPL34	-2.801	0.007978654
RCL1	-2.798	0.000562532
RBM19	-2.797	0.003641751
PSMD6	-2.797	0.001080583
NOL6	-2.797	0.000205107
FKBPL	-2.796	4.31E-05
MASTL	-2.794	0.000124064
AAMP	-2.794	0.00676373
RPA1	-2.794	0.000437928
PPCS	-2.792	0.025074632
ARL1	-2.791	0.000973941
DHX15	-2.785	0.005941282
PRPF38B	-2.784	0.02564118
DAD1	-2.783	0.002669968
THOC3	-2.782	0.006777236
NFS1	-2.782	0.000133488
TFIP11	-2.781	0.004913163
KIAA1614	-2.781	0.181564573
CRNKL1	-2.780	0.000505483
EIF3B	-2.779	0.0019254
KRR1	-2.778	0.003674348
POLR3A	-2.778	0.000562532
CDC73	-2.778	0.016693549
TOMM22	-2.777	0.055000752
RBM25	-2.772	0.00520143
ZMAT5	-2.772	0.004368741
PGD	-2.768	0.000213687
VPS29	-2.764	4.10E-05
CDC40	-2.764	0.005733629
PRPF4	-2.762	0.000855229
EPS8L3	-2.761	0.097603869
VPS53	-2.760	0.028143941
UTP20	-2.760	0.015139169
CDK9	-2.741	0.000103247
WDR55	-2.740	0.078526823
GFER	-2.738	0.018650139
TMX2	-2.738	0.002510568
TUBG1	-2.737	0.017886178
RPS5	-2.735	0.002221982
TTC27	-2.732	0.000300952
IPO13	-2.732	3.76E-05
RPN1	-2.731	0.000474513
PRAME	-2.731	0.000300952
ITPK1	-2.730	0.000256214
HAUS5	-2.723	0.000148456
SIPA1	-2.722	0.000752137
ERCC3	-2.721	0.012971632
THOC2	-2.720	0.031978084
AIFM3	-2.719	0.000241633
SLC7A6OS	-2.718	0.005556385
SART1	-2.718	0.005818106
ZBTB11	-2.718	0.000738155
CDC5L	-2.718	0.000141497
RPLP2	-2.717	0.023456657
LENG8	-2.717	0.026225774
FBXW11	-2.714	0.000148456
EXOSC7	-2.713	0.000450234
RPL10A	-2.710	4.60E-05
TRMT61A	-2.710	0.00047209
C16orf72	-2.709	0.041575741
GART	-2.708	0.000321942
HDAC3	-2.706	0.00146119
RPS21	-2.706	0.007135761
EXTL1	-2.705	0.003915679
POLR3E	-2.704	0.000866448
ATRIP	-2.703	0.000391799
CYC1	-2.700	0.000185059
FIP1L1	-2.693	0.025563646
HNRNPC	-2.690	0.014970039
EIF5AL1	-2.689	0.005568091
SNRNP35	-2.688	0.017901758
BAP1	-2.688	0.011690957
DDOST	-2.687	0.002192652
HSD17B10	-2.685	6.35E-05
PAICS	-2.685	0.001130116
DGCR14	-2.681	0.000883539
UQCRC2	-2.680	0.002642539
SNRNP25	-2.679	0.000291532
NOC4L	-2.678	0.001041001
DGCR6L	-2.677	0.006591383
SMC1A	-2.675	0.001716575
AZI1	-2.673	0.012778019
MTG2	-2.672	0.002095515
WDR46	-2.672	0.00495621
TAF1C	-2.671	9.65E-05
DDB1	-2.667	0.000120428
NPIPB5	-2.661	0.012259441
WDR25	-2.660	0.001972345
RPS2	-2.660	0.010942994
PAFAH1B1	-2.656	0.000442931
CRLS1	-2.652	0.002642539
WDR92	-2.651	0.01360465
RPS25	-2.649	0.00135073
HAUS1	-2.648	0.002169128
SDHB	-2.648	0.001124692
OSBP	-2.647	0.001067976
MCMBP	-2.647	0.0001809
YARS2	-2.647	0.005328119
DNAJA3	-2.644	0.000287305
NUP62	-2.643	0.020184566
UPF2	-2.642	0.007339393
ISCU	-2.641	0.001289091
SUPT5H	-2.641	0.001751142
URB2	-2.639	0.001074973
RRS1	-2.636	0.017304346
PMPCA	-2.635	0.053284112
TBCD	-2.635	0.002192652
TBCB	-2.630	0.002460749
CDS2	-2.628	0.000454226
RAD21	-2.624	0.005139674
TOP1	-2.624	0.029308971
TRMT5	-2.624	0.006482488
TMED2	-2.621	0.002737126
AURKA	-2.620	0.001989505
PSMC5	-2.620	0.000523976
NSA2	-2.619	0.000487248
RARS2	-2.619	0.009257577
ATL2	-2.618	0.015533899
ANKLE2	-2.617	0.067190249
ATP5A1	-2.616	0.000449523
SREBF1	-2.616	0.000505483
NOP56	-2.615	0.026006094
SMC2	-2.614	0.00610658
HUS1	-2.614	0.016071315
MAX	-2.614	0.050401258
INTS9	-2.614	0.018323395
SRSF7	-2.611	0.028919972
VARS2	-2.610	0.005767009
RPL7	-2.606	0.011442292
RPS29	-2.604	0.045213918
COASY	-2.602	0.00036698
SNRPG	-2.598	0.055797743
SF3A3	-2.597	0.003197865
GNB1L	-2.596	0.003710854
USP10	-2.592	0.076026095
U2AF1	-2.592	0.009311459
CBFA2T3	-2.591	6.17E-05
DUT	-2.590	0.184882424
MRPS2	-2.590	0.012153046
DCTN3	-2.589	0.000865673
DCTN5	-2.589	0.002204018
CDC37	-2.587	0.00245287
CBWD6	-2.585	0.001857507
SRRT	-2.584	0.041046861
WDR5	-2.583	0.000769744
NAPA	-2.583	0.000185059
RPS16	-2.582	0.017337624
YME1L1	-2.581	0.000269734
INTS1	-2.581	0.012971632
NXF1	-2.579	0.041485124
DDX51	-2.575	0.015284203
TTI2	-2.574	0.003038305
SCAF1	-2.573	0.004524821
PRR13	-2.572	0.006887942
COPB2	-2.572	0.028464091
SDAD1	-2.569	0.004450821
MED1	-2.568	0.00214858
MRPL46	-2.566	0.008040021
PSMD7	-2.565	0.014590205
SAP30BP	-2.561	0.005527122
CENPI	-2.561	0.001909525
PHLDB3	-2.561	0.303832669
POP4	-2.554	0.000995492
VPS18	-2.554	0.00036896
SSBP3	-2.553	0.000366187
CTPS1	-2.553	0.000187957
DOHH	-2.551	0.000465635
RANBP1	-2.547	0.001087188
PI4KA	-2.544	0.001686286
RPAP1	-2.541	0.00032627
RFT1	-2.541	0.001981715
ELAC2	-2.541	0.003508845
RAD17	-2.540	0.005570315
RAE1	-2.540	0.002042748
CCNH	-2.539	0.0001968
MED14	-2.539	0.005524126
AGAP9	-2.538	0.042052786
CDK7	-2.538	0.006399846
RBMX	-2.538	0.037577998
RAD51	-2.537	0.006229328
CINP	-2.535	0.003436474
SYS1	-2.535	0.001081633
ALG2	-2.533	7.43E-05
INPPL1	-2.533	0.004797895
MCM7	-2.531	0.019920441
UXT	-2.530	0.009951498
AGAP7	-2.529	0.090559771
WDR36	-2.527	0.016904406
NAT10	-2.527	0.001173844
MED27	-2.527	0.009008749
UFD1L	-2.520	0.06451174
TUFM	-2.519	0.001030481
MRPL44	-2.517	0.002026211
VPS25	-2.510	0.000241812
KAT5	-2.506	0.000402639
SNRPE	-2.506	0.000909983
HIST2H4A	-2.504	0.009275334
HIST2H4B	-2.504	0.009275334
CCDC130	-2.503	0.001954272
CDC7	-2.502	0.067454755
TUT1	-2.500	0.041046861
RBBP4	-2.500	0.000622765
RBM39	-2.498	0.032884251
MED16	-2.494	0.000291088
PSMB5	-2.492	0.000325973
NDNL2	-2.491	0.000866877
MRPS27	-2.491	0.080241475
ZNF280B	-2.490	0.000548113
MRPS10	-2.488	0.005417093
LUC7L3	-2.485	0.008625338
RRN3	-2.484	0.000786797
SRP19	-2.484	0.001989505
SNRNP200	-2.483	0.001718383
QRSL1	-2.483	0.002806533
ABCF1	-2.483	0.010874423
PTPN11	-2.482	0.013968467
UBB	-2.479	0.026006669
RPTOR	-2.477	0.025899099
METTL16	-2.475	0.000454226
PCF11	-2.474	0.000655834
POTEE	-2.473	0.275609082
MRPL38	-2.473	0.005950926
RACGAP1	-2.472	0.015139169
PSMA2	-2.471	0.01877307
NUP133	-2.471	0.004233977
ATR	-2.469	0.012106276
ETF1	-2.469	0.013336874
AIF1L	-2.467	0.000299041
SAMM50	-2.465	0.000350609
ARFRP1	-2.464	0.065520451
CDH24	-2.462	0.020098681
MRPL37	-2.462	0.000891071
ZNF574	-2.461	0.095138559
AFG3L2	-2.459	0.041882943
GGPS1	-2.457	0.004723982
SMARCA4	-2.454	0.000864663
SETD8	-2.452	0.034524054
SCAP	-2.450	0.00036896
SBNO1	-2.449	0.002869074
RTDR1	-2.449	0.00698673
MRPL20	-2.446	0.020658725
TSSK2	-2.444	0.000562532
EXOSC2	-2.443	0.003674348
PSMA1	-2.440	0.002642539
SLC7A5	-2.438	0.006187546
TOP2A	-2.437	0.002426801
NDRG3	-2.436	0.000402639
HARS2	-2.435	0.020102656
AP2S1	-2.433	5.11E-05
NCAPD2	-2.432	0.012561484
EXOSC8	-2.430	0.000261167
KIN	-2.429	0.001100188
CTDP1	-2.428	0.064075577
CNNM4	-2.427	0.046637358
PSMD1	-2.426	0.001413213
GINS1	-2.420	0.000543295
CEBPZ	-2.417	0.009081828
H3F3A	-2.415	0.188653902
POP7	-2.414	0.068276186
SUPT16H	-2.414	0.0112174
POLR2K	-2.412	0.099207591
MRPL45	-2.411	0.005741823
BASP1	-2.408	0.291151037
PMF1	-2.400	0.00148232
RFC1	-2.397	0.094054676
RAI1	-2.395	0.173658027
CSTF3	-2.394	0.000515354
LONP1	-2.393	0.077671939
ZBED2	-2.392	0.060301123
ZMIZ1	-2.392	0.000523976
TRIM52	-2.389	0.025565093
GTF2H4	-2.389	0.000454226
HIST2H2BF	-2.386	0.001223708
EIF5A	-2.384	0.04149991
HYOU1	-2.382	0.002988013
MBTPS1	-2.379	0.065496499
NFYA	-2.378	0.244108649
THOC7	-2.377	0.00029248
EIF1AX	-2.377	0.005741823
DDX41	-2.374	0.003004897
GINS3	-2.372	0.003333945
UBA2	-2.369	0.001069421
ATP5J2-PTCD1	-2.367	0.00032627
PTCD1	-2.367	0.00032627
PSMC2	-2.365	0.013910057
SNRPC	-2.364	0.002642539
EEF1G	-2.358	0.004005639
MRPL42	-2.357	0.017983109
POLRMT	-2.356	0.002038864
EMC7	-2.355	0.004532175
TSEN34	-2.355	0.079209196
RPL17-C18orf32	-2.353	0.216786979
CRKL	-2.349	0.000485173
GLE1	-2.349	0.005892297
ACO2	-2.346	0.001154606
ABCB7	-2.344	0.003069021
COX4I1	-2.342	0.005461543
VPREB1	-2.341	0.146255993
AGPAT1	-2.341	0.002032886
LAS1L	-2.339	0.012823305
FAM155A	-2.336	0.001309023
SHQ1	-2.334	0.060484039
