site	c	s	e	str	Ess	round
Hub_22_12.1st	chr22	17495000	17500000	chr22-17495000	Ess	1st
Hub_22_2.1st	chr22	17215000	17220000	chr22-17215000	Ess	1st
Hub_22_3.1st	chr22	17225000	17230000	chr22-17225000	Ess	1st
Hub_22_4.1st	chr22	17230000	17235000	chr22-17230000	Ess	1st
Hub_22_7.1st	chr22	17325000	17330000	chr22-17325000	Ess	1st
Hub_22_8.1st	chr22	17335000	17340000	chr22-17335000	Ess	1st
Hub_4_29.1st	chr4	190605000	190610000	chr4-190605000	Ess	1st
Hub_5_12.1st	chr5	49465000	49470000	chr5-49465000	Ess	1st
Hub_5_36.1st	chr5	161700000	161705000	chr5-161700000	Ess	1st
Hub_6_27.1st	chr6	62040000	62045000	chr6-62040000	Ess	1st
Hub_6_36.1st	chr6	62315000	62320000	chr6-62315000	Ess	1st
Hub_6_7.1st	chr6	57605000	57610000	chr6-57605000	Ess	1st
Hub_7_1.1st	chr7	4480000	4485000	chr7-4480000	Ess	1st
Hub_7_108.1st	chr7	63290000	63295000	chr7-63290000	Ess	1st
Hub_7_109.1st	chr7	63295000	63300000	chr7-63295000	Ess	1st
Hub_7_118.1st	chr7	76380000	76385000	chr7-76380000	Ess	1st
Hub_7_121.1st	chr7	76430000	76435000	chr7-76430000	Ess	1st
Hub_7_44.1st	chr7	41060000	41065000	chr7-41060000	Ess	1st
Hub_7_49.1st	chr7	46365000	46370000	chr7-46365000	Ess	1st
Hub_7_53.1st	chr7	48905000	48910000	chr7-48905000	Ess	1st
Hub_7_89.1st	chr7	61525000	61530000	chr7-61525000	Ess	1st
Hub_7_9.1st	chr7	9360000	9365000	chr7-9360000	Ess	1st
Hub_7_90.1st	chr7	61530000	61535000	chr7-61530000	Ess	1st
Hub_7_92.1st	chr7	61820000	61825000	chr7-61820000	Ess	1st
Hub_8_21.1st	chr8	46925000	46930000	chr8-46925000	Ess	1st
Hub_8_24.1st	chr8	47000000	47005000	chr8-47000000	Ess	1st
Hub_8_25.1st	chr8	47060000	47065000	chr8-47060000	Ess	1st
Hub_8_26.1st	chr8	47340000	47345000	chr8-47340000	Ess	1st
Hub_9_34.1st	chr9	44880000	44885000	chr9-44880000	Ess	1st
Hub_9_35.1st	chr9	44900000	44905000	chr9-44900000	Ess	1st
Hub_9_38.1st	chr9	66480000	66485000	chr9-66480000	Ess	1st
Hub_9_45.1st	chr9	68355000	68360000	chr9-68355000	Ess	1st
Hub_9_56.1st	chr9	68990000	68995000	chr9-68990000	Ess	1st
Hub_1_10.1st	chr1	79155000	79160000	chr1-79155000	Noness	1st
Hub_1_11.1st	chr1	80105000	80110000	chr1-80105000	Noness	1st
Hub_1_12.1st	chr1	83945000	83950000	chr1-83945000	Noness	1st
Hub_1_15.1st	chr1	102005000	102010000	chr1-102005000	Noness	1st
Hub_1_16.1st	chr1	102010000	102015000	chr1-102010000	Noness	1st
Hub_1_17.1st	chr1	104800000	104805000	chr1-104800000	Noness	1st
Hub_1_18.1st	chr1	104890000	104895000	chr1-104890000	Noness	1st
Hub_1_2.1st	chr1	4380000	4385000	chr1-4380000	Noness	1st
Hub_1_20.1st	chr1	107250000	107255000	chr1-107250000	Noness	1st
Hub_1_22.1st	chr1	119060000	119065000	chr1-119060000	Noness	1st
Hub_1_26.1st	chr1	121150000	121155000	chr1-121150000	Noness	1st
Hub_1_27.1st	chr1	121155000	121160000	chr1-121155000	Noness	1st
Hub_1_28.1st	chr1	121160000	121165000	chr1-121160000	Noness	1st
Hub_1_3.1st	chr1	60845000	60850000	chr1-60845000	Noness	1st
Hub_1_30.1st	chr1	121175000	121180000	chr1-121175000	Noness	1st
Hub_1_31.1st	chr1	121185000	121190000	chr1-121185000	Noness	1st
Hub_1_32.1st	chr1	121190000	121195000	chr1-121190000	Noness	1st
Hub_1_33.1st	chr1	121195000	121200000	chr1-121195000	Noness	1st
Hub_1_34.1st	chr1	121200000	121205000	chr1-121200000	Noness	1st
Hub_1_35.1st	chr1	121205000	121210000	chr1-121205000	Noness	1st
Hub_1_36.1st	chr1	121210000	121215000	chr1-121210000	Noness	1st
Hub_1_37.1st	chr1	121215000	121220000	chr1-121215000	Noness	1st
Hub_1_39.1st	chr1	121250000	121255000	chr1-121250000	Noness	1st
Hub_1_44.1st	chr1	121340000	121345000	chr1-121340000	Noness	1st
Hub_1_45.1st	chr1	121350000	121355000	chr1-121350000	Noness	1st
Hub_1_46.1st	chr1	121355000	121360000	chr1-121355000	Noness	1st
Hub_1_48.1st	chr1	146700000	146705000	chr1-146700000	Noness	1st
Hub_1_49.1st	chr1	149115000	149120000	chr1-149115000	Noness	1st
Hub_1_5.1st	chr1	69360000	69365000	chr1-69360000	Noness	1st
Hub_1_50.1st	chr1	149125000	149130000	chr1-149125000	Noness	1st
Hub_1_51.1st	chr1	149135000	149140000	chr1-149135000	Noness	1st
Hub_1_52.1st	chr1	149140000	149145000	chr1-149140000	Noness	1st
Hub_1_53.1st	chr1	149165000	149170000	chr1-149165000	Noness	1st
Hub_1_54.1st	chr1	149175000	149180000	chr1-149175000	Noness	1st
Hub_1_55.1st	chr1	149195000	149200000	chr1-149195000	Noness	1st
Hub_1_56.1st	chr1	159295000	159300000	chr1-159295000	Noness	1st
Hub_1_57.1st	chr1	159315000	159320000	chr1-159315000	Noness	1st
Hub_1_59.1st	chr1	161535000	161540000	chr1-161535000	Noness	1st
Hub_1_6.1st	chr1	71055000	71060000	chr1-71055000	Noness	1st
Hub_1_66.1st	chr1	248430000	248435000	chr1-248430000	Noness	1st
Hub_1_67.1st	chr1	248590000	248595000	chr1-248590000	Noness	1st
Hub_1_69.1st	chr1	248600000	248605000	chr1-248600000	Noness	1st
Hub_1_71.1st	chr1	248640000	248645000	chr1-248640000	Noness	1st
Hub_1_73.1st	chr1	248730000	248735000	chr1-248730000	Noness	1st
Hub_1_74.1st	chr1	248820000	248825000	chr1-248820000	Noness	1st
Hub_1_75.1st	chr1	248825000	248830000	chr1-248825000	Noness	1st
Hub_1_76.1st	chr1	248835000	248840000	chr1-248835000	Noness	1st
Hub_1_77.1st	chr1	248885000	248890000	chr1-248885000	Noness	1st
Hub_1_78.1st	chr1	249060000	249065000	chr1-249060000	Noness	1st
Hub_10_10.1st	chr10	42480000	42485000	chr10-42480000	Noness	1st
Hub_10_11.1st	chr10	42485000	42490000	chr10-42485000	Noness	1st
Hub_10_12.1st	chr10	42520000	42525000	chr10-42520000	Noness	1st
Hub_10_13.1st	chr10	42670000	42675000	chr10-42670000	Noness	1st
Hub_10_16.1st	chr10	55395000	55400000	chr10-55395000	Noness	1st
Hub_10_17.1st	chr10	88960000	88965000	chr10-88960000	Noness	1st
Hub_10_19.1st	chr10	88970000	88975000	chr10-88970000	Noness	1st
Hub_10_2.1st	chr10	37155000	37160000	chr10-37155000	Noness	1st
Hub_10_20.1st	chr10	88975000	88980000	chr10-88975000	Noness	1st
Hub_10_22.1st	chr10	92095000	92100000	chr10-92095000	Noness	1st
Hub_10_23.1st	chr10	92400000	92405000	chr10-92400000	Noness	1st
Hub_10_24.1st	chr10	108225000	108230000	chr10-108225000	Noness	1st
Hub_10_25.1st	chr10	109930000	109935000	chr10-109930000	Noness	1st
Hub_10_26.1st	chr10	110815000	110820000	chr10-110815000	Noness	1st
Hub_10_27.1st	chr10	113580000	113585000	chr10-113580000	Noness	1st
Hub_10_28.1st	chr10	129305000	129310000	chr10-129305000	Noness	1st
Hub_10_4.1st	chr10	38895000	38900000	chr10-38895000	Noness	1st
Hub_10_5.1st	chr10	38900000	38905000	chr10-38900000	Noness	1st
Hub_10_6.1st	chr10	38970000	38975000	chr10-38970000	Noness	1st
Hub_10_7.1st	chr10	42435000	42440000	chr10-42435000	Noness	1st
Hub_10_9.1st	chr10	42455000	42460000	chr10-42455000	Noness	1st
Hub_11_11.1st	chr11	50325000	50330000	chr11-50325000	Noness	1st
Hub_11_12.1st	chr11	50345000	50350000	chr11-50345000	Noness	1st
Hub_11_13.1st	chr11	50430000	50435000	chr11-50430000	Noness	1st
Hub_11_14.1st	chr11	50745000	50750000	chr11-50745000	Noness	1st
Hub_11_16.1st	chr11	51210000	51215000	chr11-51210000	Noness	1st
Hub_11_17.1st	chr11	51215000	51220000	chr11-51215000	Noness	1st
Hub_11_18.1st	chr11	51220000	51225000	chr11-51220000	Noness	1st
Hub_11_2.1st	chr11	26035000	26040000	chr11-26035000	Noness	1st
Hub_11_20.1st	chr11	51235000	51240000	chr11-51235000	Noness	1st
Hub_11_21.1st	chr11	51240000	51245000	chr11-51240000	Noness	1st
Hub_11_22.1st	chr11	51250000	51255000	chr11-51250000	Noness	1st
Hub_11_23.1st	chr11	51260000	51265000	chr11-51260000	Noness	1st
Hub_11_24.1st	chr11	51275000	51280000	chr11-51275000	Noness	1st
Hub_11_25.1st	chr11	51280000	51285000	chr11-51280000	Noness	1st
Hub_11_26.1st	chr11	51285000	51290000	chr11-51285000	Noness	1st
Hub_11_27.1st	chr11	51290000	51295000	chr11-51290000	Noness	1st
Hub_11_28.1st	chr11	51295000	51300000	chr11-51295000	Noness	1st
Hub_11_29.1st	chr11	51300000	51305000	chr11-51300000	Noness	1st
Hub_11_3.1st	chr11	26905000	26910000	chr11-26905000	Noness	1st
Hub_11_30.1st	chr11	51315000	51320000	chr11-51315000	Noness	1st
Hub_11_31.1st	chr11	51320000	51325000	chr11-51320000	Noness	1st
Hub_11_32.1st	chr11	51335000	51340000	chr11-51335000	Noness	1st
Hub_11_33.1st	chr11	51365000	51370000	chr11-51365000	Noness	1st
Hub_11_34.1st	chr11	51370000	51375000	chr11-51370000	Noness	1st
Hub_11_35.1st	chr11	51375000	51380000	chr11-51375000	Noness	1st
Hub_11_36.1st	chr11	51380000	51385000	chr11-51380000	Noness	1st
Hub_11_37.1st	chr11	51385000	51390000	chr11-51385000	Noness	1st
Hub_11_38.1st	chr11	51390000	51395000	chr11-51390000	Noness	1st
Hub_11_39.1st	chr11	51395000	51400000	chr11-51395000	Noness	1st
Hub_11_4.1st	chr11	29220000	29225000	chr11-29220000	Noness	1st
Hub_11_40.1st	chr11	51405000	51410000	chr11-51405000	Noness	1st
Hub_11_41.1st	chr11	51415000	51420000	chr11-51415000	Noness	1st
Hub_11_42.1st	chr11	51420000	51425000	chr11-51420000	Noness	1st
Hub_11_43.1st	chr11	51425000	51430000	chr11-51425000	Noness	1st
Hub_11_44.1st	chr11	51430000	51435000	chr11-51430000	Noness	1st
Hub_11_45.1st	chr11	51435000	51440000	chr11-51435000	Noness	1st
Hub_11_46.1st	chr11	51440000	51445000	chr11-51440000	Noness	1st
Hub_11_47.1st	chr11	51465000	51470000	chr11-51465000	Noness	1st
Hub_11_48.1st	chr11	51475000	51480000	chr11-51475000	Noness	1st
Hub_11_5.1st	chr11	48460000	48465000	chr11-48460000	Noness	1st
Hub_11_50.1st	chr11	51490000	51495000	chr11-51490000	Noness	1st
Hub_11_51.1st	chr11	51495000	51500000	chr11-51495000	Noness	1st
Hub_11_55.1st	chr11	51530000	51535000	chr11-51530000	Noness	1st
Hub_11_56.1st	chr11	51540000	51545000	chr11-51540000	Noness	1st
Hub_11_57.1st	chr11	51545000	51550000	chr11-51545000	Noness	1st
Hub_11_58.1st	chr11	51550000	51555000	chr11-51550000	Noness	1st
Hub_11_59.1st	chr11	51555000	51560000	chr11-51555000	Noness	1st
Hub_11_6.1st	chr11	48720000	48725000	chr11-48720000	Noness	1st
Hub_11_60.1st	chr11	51560000	51565000	chr11-51560000	Noness	1st
Hub_11_61.1st	chr11	51570000	51575000	chr11-51570000	Noness	1st
Hub_11_62.1st	chr11	54800000	54805000	chr11-54800000	Noness	1st
Hub_11_63.1st	chr11	54810000	54815000	chr11-54810000	Noness	1st
Hub_11_64.1st	chr11	54850000	54855000	chr11-54850000	Noness	1st
Hub_11_65.1st	chr11	54880000	54885000	chr11-54880000	Noness	1st
Hub_11_66.1st	chr11	54895000	54900000	chr11-54895000	Noness	1st
Hub_11_67.1st	chr11	54900000	54905000	chr11-54900000	Noness	1st
Hub_11_68.1st	chr11	54910000	54915000	chr11-54910000	Noness	1st
Hub_11_69.1st	chr11	54915000	54920000	chr11-54915000	Noness	1st
Hub_11_7.1st	chr11	48760000	48765000	chr11-48760000	Noness	1st
Hub_11_70.1st	chr11	54920000	54925000	chr11-54920000	Noness	1st
Hub_11_71.1st	chr11	54925000	54930000	chr11-54925000	Noness	1st
Hub_11_72.1st	chr11	54930000	54935000	chr11-54930000	Noness	1st
Hub_11_73.1st	chr11	54935000	54940000	chr11-54935000	Noness	1st
Hub_11_74.1st	chr11	54940000	54945000	chr11-54940000	Noness	1st
Hub_11_75.1st	chr11	54960000	54965000	chr11-54960000	Noness	1st
Hub_11_76.1st	chr11	54965000	54970000	chr11-54965000	Noness	1st
Hub_11_77.1st	chr11	54980000	54985000	chr11-54980000	Noness	1st
Hub_11_78.1st	chr11	54985000	54990000	chr11-54985000	Noness	1st
Hub_11_79.1st	chr11	55050000	55055000	chr11-55050000	Noness	1st
Hub_11_8.1st	chr11	48955000	48960000	chr11-48955000	Noness	1st
Hub_11_80.1st	chr11	55055000	55060000	chr11-55055000	Noness	1st
Hub_11_81.1st	chr11	55075000	55080000	chr11-55075000	Noness	1st
Hub_11_83.1st	chr11	55115000	55120000	chr11-55115000	Noness	1st
Hub_11_84.1st	chr11	55220000	55225000	chr11-55220000	Noness	1st
Hub_11_86.1st	chr11	55315000	55320000	chr11-55315000	Noness	1st
Hub_11_87.1st	chr11	55350000	55355000	chr11-55350000	Noness	1st
Hub_11_88.1st	chr11	55360000	55365000	chr11-55360000	Noness	1st
Hub_11_89.1st	chr11	55465000	55470000	chr11-55465000	Noness	1st
Hub_11_9.1st	chr11	49015000	49020000	chr11-49015000	Noness	1st
Hub_11_91.1st	chr11	80650000	80655000	chr11-80650000	Noness	1st
Hub_11_92.1st	chr11	81475000	81480000	chr11-81475000	Noness	1st
Hub_11_94.1st	chr11	91095000	91100000	chr11-91095000	Noness	1st
Hub_12_10.1st	chr12	8445000	8450000	chr12-8445000	Noness	1st
Hub_12_11.1st	chr12	8460000	8465000	chr12-8460000	Noness	1st
Hub_12_12.1st	chr12	8465000	8470000	chr12-8465000	Noness	1st
Hub_12_13.1st	chr12	8470000	8475000	chr12-8470000	Noness	1st
Hub_12_16.1st	chr12	8590000	8595000	chr12-8590000	Noness	1st
Hub_12_17.1st	chr12	8715000	8720000	chr12-8715000	Noness	1st
Hub_12_18.1st	chr12	9605000	9610000	chr12-9605000	Noness	1st
Hub_12_19.1st	chr12	9620000	9625000	chr12-9620000	Noness	1st
Hub_12_2.1st	chr12	8355000	8360000	chr12-8355000	Noness	1st
Hub_12_20.1st	chr12	9625000	9630000	chr12-9625000	Noness	1st
Hub_12_22.1st	chr12	16260000	16265000	chr12-16260000	Noness	1st
Hub_12_23.1st	chr12	16305000	16310000	chr12-16305000	Noness	1st
Hub_12_24.1st	chr12	17270000	17275000	chr12-17270000	Noness	1st
Hub_12_25.1st	chr12	17420000	17425000	chr12-17420000	Noness	1st
Hub_12_26.1st	chr12	17535000	17540000	chr12-17535000	Noness	1st
Hub_12_27.1st	chr12	17540000	17545000	chr12-17540000	Noness	1st
Hub_12_28.1st	chr12	17565000	17570000	chr12-17565000	Noness	1st
Hub_12_29.1st	chr12	17745000	17750000	chr12-17745000	Noness	1st
Hub_12_3.1st	chr12	8400000	8405000	chr12-8400000	Noness	1st
Hub_12_30.1st	chr12	20335000	20340000	chr12-20335000	Noness	1st
Hub_12_31.1st	chr12	30005000	30010000	chr12-30005000	Noness	1st
Hub_12_34.1st	chr12	34560000	34565000	chr12-34560000	Noness	1st
Hub_12_35.1st	chr12	34580000	34585000	chr12-34580000	Noness	1st
Hub_12_36.1st	chr12	34620000	34625000	chr12-34620000	Noness	1st
Hub_12_37.1st	chr12	34670000	34675000	chr12-34670000	Noness	1st
Hub_12_39.1st	chr12	34780000	34785000	chr12-34780000	Noness	1st
Hub_12_4.1st	chr12	8410000	8415000	chr12-8410000	Noness	1st
Hub_12_40.1st	chr12	37900000	37905000	chr12-37900000	Noness	1st
Hub_12_42.1st	chr12	37945000	37950000	chr12-37945000	Noness	1st
Hub_12_43.1st	chr12	37950000	37955000	chr12-37950000	Noness	1st
Hub_12_44.1st	chr12	37955000	37960000	chr12-37955000	Noness	1st
Hub_12_45.1st	chr12	37960000	37965000	chr12-37960000	Noness	1st
Hub_12_47.1st	chr12	38005000	38010000	chr12-38005000	Noness	1st
Hub_12_48.1st	chr12	38125000	38130000	chr12-38125000	Noness	1st
Hub_12_49.1st	chr12	38155000	38160000	chr12-38155000	Noness	1st
Hub_12_5.1st	chr12	8415000	8420000	chr12-8415000	Noness	1st
Hub_12_50.1st	chr12	38170000	38175000	chr12-38170000	Noness	1st
Hub_12_51.1st	chr12	38180000	38185000	chr12-38180000	Noness	1st
Hub_12_52.1st	chr12	38285000	38290000	chr12-38285000	Noness	1st
Hub_12_53.1st	chr12	55205000	55210000	chr12-55205000	Noness	1st
Hub_12_54.1st	chr12	64085000	64090000	chr12-64085000	Noness	1st
Hub_12_55.1st	chr12	77855000	77860000	chr12-77855000	Noness	1st
Hub_12_56.1st	chr12	87585000	87590000	chr12-87585000	Noness	1st
Hub_12_57.1st	chr12	100405000	100410000	chr12-100405000	Noness	1st
Hub_12_6.1st	chr12	8420000	8425000	chr12-8420000	Noness	1st
Hub_12_7.1st	chr12	8430000	8435000	chr12-8430000	Noness	1st
Hub_12_8.1st	chr12	8435000	8440000	chr12-8435000	Noness	1st
Hub_12_9.1st	chr12	8440000	8445000	chr12-8440000	Noness	1st
Hub_13_1.1st	chr13	19260000	19265000	chr13-19260000	Noness	1st
Hub_13_10.1st	chr13	19400000	19405000	chr13-19400000	Noness	1st
Hub_13_11.1st	chr13	19975000	19980000	chr13-19975000	Noness	1st
Hub_13_13.1st	chr13	55705000	55710000	chr13-55705000	Noness	1st
Hub_13_14.1st	chr13	62865000	62870000	chr13-62865000	Noness	1st
Hub_13_15.1st	chr13	72850000	72855000	chr13-72850000	Noness	1st
Hub_13_17.1st	chr13	82130000	82135000	chr13-82130000	Noness	1st
Hub_13_18.1st	chr13	88585000	88590000	chr13-88585000	Noness	1st
Hub_13_3.1st	chr13	19275000	19280000	chr13-19275000	Noness	1st
Hub_13_4.1st	chr13	19280000	19285000	chr13-19280000	Noness	1st
Hub_13_5.1st	chr13	19285000	19290000	chr13-19285000	Noness	1st
Hub_13_6.1st	chr13	19290000	19295000	chr13-19290000	Noness	1st
Hub_13_7.1st	chr13	19295000	19300000	chr13-19295000	Noness	1st
Hub_13_9.1st	chr13	19390000	19395000	chr13-19390000	Noness	1st
Hub_14_1.1st	chr14	28280000	28285000	chr14-28280000	Noness	1st
Hub_14_2.1st	chr14	41385000	41390000	chr14-41385000	Noness	1st
Hub_14_3.1st	chr14	44680000	44685000	chr14-44680000	Noness	1st
Hub_14_4.1st	chr14	46080000	46085000	chr14-46080000	Noness	1st
Hub_14_5.1st	chr14	106090000	106095000	chr14-106090000	Noness	1st
Hub_14_6.1st	chr14	106115000	106120000	chr14-106115000	Noness	1st
Hub_14_7.1st	chr14	106450000	106455000	chr14-106450000	Noness	1st
Hub_14_8.1st	chr14	106820000	106825000	chr14-106820000	Noness	1st
Hub_14_9.1st	chr14	107225000	107230000	chr14-107225000	Noness	1st
Hub_15_10.1st	chr15	22540000	22545000	chr15-22540000	Noness	1st
Hub_15_11.1st	chr15	22765000	22770000	chr15-22765000	Noness	1st
Hub_15_12.1st	chr15	22820000	22825000	chr15-22820000	Noness	1st
Hub_15_13.1st	chr15	23160000	23165000	chr15-23160000	Noness	1st
Hub_15_15.1st	chr15	23220000	23225000	chr15-23220000	Noness	1st
Hub_15_16.1st	chr15	28970000	28975000	chr15-28970000	Noness	1st
Hub_15_17.1st	chr15	29025000	29030000	chr15-29025000	Noness	1st
Hub_15_19.1st	chr15	31140000	31145000	chr15-31140000	Noness	1st
Hub_15_20.1st	chr15	31960000	31965000	chr15-31960000	Noness	1st
Hub_15_22.1st	chr15	102325000	102330000	chr15-102325000	Noness	1st
Hub_15_3.1st	chr15	20180000	20185000	chr15-20180000	Noness	1st
Hub_15_4.1st	chr15	20185000	20190000	chr15-20185000	Noness	1st
Hub_15_5.1st	chr15	20190000	20195000	chr15-20190000	Noness	1st
Hub_15_7.1st	chr15	22405000	22410000	chr15-22405000	Noness	1st
Hub_16_1.1st	chr16	15235000	15240000	chr16-15235000	Noness	1st
Hub_16_10.1st	chr16	29145000	29150000	chr16-29145000	Noness	1st
Hub_16_13.1st	chr16	29215000	29220000	chr16-29215000	Noness	1st
Hub_16_14.1st	chr16	29220000	29225000	chr16-29220000	Noness	1st
Hub_16_15.1st	chr16	29225000	29230000	chr16-29225000	Noness	1st
Hub_16_16.1st	chr16	29230000	29235000	chr16-29230000	Noness	1st
Hub_16_17.1st	chr16	29235000	29240000	chr16-29235000	Noness	1st
Hub_16_18.1st	chr16	29240000	29245000	chr16-29240000	Noness	1st
Hub_16_2.1st	chr16	15480000	15485000	chr16-15480000	Noness	1st
Hub_16_20.1st	chr16	29250000	29255000	chr16-29250000	Noness	1st
Hub_16_21.1st	chr16	29255000	29260000	chr16-29255000	Noness	1st
Hub_16_23.1st	chr16	29275000	29280000	chr16-29275000	Noness	1st
Hub_16_24.1st	chr16	29285000	29290000	chr16-29285000	Noness	1st
Hub_16_25.1st	chr16	29290000	29295000	chr16-29290000	Noness	1st
Hub_16_26.1st	chr16	29295000	29300000	chr16-29295000	Noness	1st
Hub_16_29.1st	chr16	29420000	29425000	chr16-29420000	Noness	1st
Hub_16_3.1st	chr16	16675000	16680000	chr16-16675000	Noness	1st
Hub_16_30.1st	chr16	29430000	29435000	chr16-29430000	Noness	1st
Hub_16_31.1st	chr16	29585000	29590000	chr16-29585000	Noness	1st
Hub_16_32.1st	chr16	29590000	29595000	chr16-29590000	Noness	1st
Hub_16_33.1st	chr16	29595000	29600000	chr16-29595000	Noness	1st
Hub_16_34.1st	chr16	29600000	29605000	chr16-29600000	Noness	1st
Hub_16_35.1st	chr16	29615000	29620000	chr16-29615000	Noness	1st
Hub_16_36.1st	chr16	29630000	29635000	chr16-29630000	Noness	1st
Hub_16_39.1st	chr16	32380000	32385000	chr16-32380000	Noness	1st
Hub_16_4.1st	chr16	18250000	18255000	chr16-18250000	Noness	1st
Hub_16_40.1st	chr16	32405000	32410000	chr16-32405000	Noness	1st
Hub_16_41.1st	chr16	32450000	32455000	chr16-32450000	Noness	1st
Hub_16_42.1st	chr16	32470000	32475000	chr16-32470000	Noness	1st
Hub_16_43.1st	chr16	32475000	32480000	chr16-32475000	Noness	1st
Hub_16_44.1st	chr16	32480000	32485000	chr16-32480000	Noness	1st
Hub_16_45.1st	chr16	32485000	32490000	chr16-32485000	Noness	1st
Hub_16_46.1st	chr16	32515000	32520000	chr16-32515000	Noness	1st
Hub_16_51.1st	chr16	33435000	33440000	chr16-33435000	Noness	1st
Hub_16_52.1st	chr16	33440000	33445000	chr16-33440000	Noness	1st
Hub_16_53.1st	chr16	33445000	33450000	chr16-33445000	Noness	1st
Hub_16_54.1st	chr16	33450000	33455000	chr16-33450000	Noness	1st
Hub_16_58.1st	chr16	33995000	34000000	chr16-33995000	Noness	1st
Hub_16_59.1st	chr16	34000000	34005000	chr16-34000000	Noness	1st
Hub_16_60.1st	chr16	34320000	34325000	chr16-34320000	Noness	1st
Hub_16_61.1st	chr16	35190000	35195000	chr16-35190000	Noness	1st
Hub_16_62.1st	chr16	35215000	35220000	chr16-35215000	Noness	1st
Hub_16_63.1st	chr16	35245000	35250000	chr16-35245000	Noness	1st
Hub_16_64.1st	chr16	46465000	46470000	chr16-46465000	Noness	1st
Hub_16_65.1st	chr16	60515000	60520000	chr16-60515000	Noness	1st
Hub_16_67.1st	chr16	70130000	70135000	chr16-70130000	Noness	1st
Hub_16_68.1st	chr16	70140000	70145000	chr16-70140000	Noness	1st
Hub_16_72.1st	chr16	76270000	76275000	chr16-76270000	Noness	1st
Hub_16_9.1st	chr16	29140000	29145000	chr16-29140000	Noness	1st
Hub_17_1.1st	chr17	40000	45000	chr17-40000	Noness	1st
Hub_17_10.1st	chr17	18615000	18620000	chr17-18615000	Noness	1st
Hub_17_11.1st	chr17	18715000	18720000	chr17-18715000	Noness	1st
Hub_17_12.1st	chr17	18720000	18725000	chr17-18720000	Noness	1st
