c	s	e	str	Ess	round	GC
chr1	248430000	248435000	chr1-248430000	Noness	1st	0.3172
chr1	248590000	248595000	chr1-248590000	Noness	1st	0.3754
chr1	248600000	248605000	chr1-248600000	Noness	1st	0.385
chr1	248640000	248645000	chr1-248640000	Noness	1st	0.372
chr1	248730000	248735000	chr1-248730000	Noness	1st	0.367
chr1	248820000	248825000	chr1-248820000	Noness	1st	0.4348
chr1	248825000	248830000	chr1-248825000	Noness	1st	0.3838
chr1	248835000	248840000	chr1-248835000	Noness	1st	0.4192
chr1	248885000	248890000	chr1-248885000	Noness	1st	0.386
chr1	249060000	249065000	chr1-249060000	Noness	1st	0.3726
chr10	42480000	42485000	chr10-42480000	Noness	1st	0.371
chr10	42485000	42490000	chr10-42485000	Noness	1st	0.3892
chr10	42520000	42525000	chr10-42520000	Noness	1st	0.3692
chr10	42670000	42675000	chr10-42670000	Noness	1st	0.441
chr10	55395000	55400000	chr10-55395000	Noness	1st	0.3544
chr10	88960000	88965000	chr10-88960000	Noness	1st	0.4218
chr10	88970000	88975000	chr10-88970000	Noness	1st	0.4652
chr10	37155000	37160000	chr10-37155000	Noness	1st	0.3908
chr10	88975000	88980000	chr10-88975000	Noness	1st	0.5046
chr10	92095000	92100000	chr10-92095000	Noness	1st	0.379
chr10	92400000	92405000	chr10-92400000	Noness	1st	0.3596
chr10	108225000	108230000	chr10-108225000	Noness	1st	0.4188
chr10	109930000	109935000	chr10-109930000	Noness	1st	0.3322
chr10	110815000	110820000	chr10-110815000	Noness	1st	0.3548
chr10	113580000	113585000	chr10-113580000	Noness	1st	0.397
chr10	129305000	129310000	chr10-129305000	Noness	1st	0.377
chr10	38895000	38900000	chr10-38895000	Noness	1st	0.5966
chr10	38900000	38905000	chr10-38900000	Noness	1st	0.4432
chr10	38970000	38975000	chr10-38970000	Noness	1st	0.377
chr10	42435000	42440000	chr10-42435000	Noness	1st	0.415
chr10	42455000	42460000	chr10-42455000	Noness	1st	0.365
chr11	50325000	50330000	chr11-50325000	Noness	1st	0.3716
chr11	50345000	50350000	chr11-50345000	Noness	1st	0.3734
chr11	50430000	50435000	chr11-50430000	Noness	1st	0.3774
chr11	50745000	50750000	chr11-50745000	Noness	1st	0.3668
chr11	51210000	51215000	chr11-51210000	Noness	1st	0.37
chr11	51215000	51220000	chr11-51215000	Noness	1st	0.3694
chr11	51220000	51225000	chr11-51220000	Noness	1st	0.3784
chr11	26035000	26040000	chr11-26035000	Noness	1st	0.3636
chr11	51235000	51240000	chr11-51235000	Noness	1st	0.3686
chr11	51240000	51245000	chr11-51240000	Noness	1st	0.3672
chr11	51250000	51255000	chr11-51250000	Noness	1st	0.374
chr11	51260000	51265000	chr11-51260000	Noness	1st	0.389
chr11	51275000	51280000	chr11-51275000	Noness	1st	0.3832
chr11	51280000	51285000	chr11-51280000	Noness	1st	0.4082
chr11	51285000	51290000	chr11-51285000	Noness	1st	0.3978
chr11	51290000	51295000	chr11-51290000	Noness	1st	0.366
chr11	51295000	51300000	chr11-51295000	Noness	1st	0.3688
chr11	51300000	51305000	chr11-51300000	Noness	1st	0.3618
chr11	26905000	26910000	chr11-26905000	Noness	1st	0.3934
chr11	51315000	51320000	chr11-51315000	Noness	1st	0.3822
chr11	51320000	51325000	chr11-51320000	Noness	1st	0.4014
chr11	51335000	51340000	chr11-51335000	Noness	1st	0.3764
chr11	51365000	51370000	chr11-51365000	Noness	1st	0.3598
chr11	51370000	51375000	chr11-51370000	Noness	1st	0.3722
chr11	51375000	51380000	chr11-51375000	Noness	1st	0.3728
chr11	51380000	51385000	chr11-51380000	Noness	1st	0.312
chr11	51385000	51390000	chr11-51385000	Noness	1st	0.3576
chr11	51390000	51395000	chr11-51390000	Noness	1st	0.4
chr11	51395000	51400000	chr11-51395000	Noness	1st	0.362
chr11	29220000	29225000	chr11-29220000	Noness	1st	0.3382
chr11	51405000	51410000	chr11-51405000	Noness	1st	0.401
chr11	51415000	51420000	chr11-51415000	Noness	1st	0.383
chr11	51420000	51425000	chr11-51420000	Noness	1st	0.381
chr11	51425000	51430000	chr11-51425000	Noness	1st	0.3678
chr11	51430000	51435000	chr11-51430000	Noness	1st	0.3334
chr11	51435000	51440000	chr11-51435000	Noness	1st	0.3502
chr11	51440000	51445000	chr11-51440000	Noness	1st	0.3714
chr11	51465000	51470000	chr11-51465000	Noness	1st	0.353
chr11	51475000	51480000	chr11-51475000	Noness	1st	0.3876
chr11	48460000	48465000	chr11-48460000	Noness	1st	0.3304
chr11	51490000	51495000	chr11-51490000	Noness	1st	0.468
chr11	51495000	51500000	chr11-51495000	Noness	1st	0.387
chr11	51530000	51535000	chr11-51530000	Noness	1st	0.4022
chr11	51540000	51545000	chr11-51540000	Noness	1st	0.3986
chr11	51545000	51550000	chr11-51545000	Noness	1st	0.3578
chr11	51550000	51555000	chr11-51550000	Noness	1st	0.4186
chr11	51555000	51560000	chr11-51555000	Noness	1st	0.3918
chr11	48720000	48725000	chr11-48720000	Noness	1st	0.3738
chr11	51560000	51565000	chr11-51560000	Noness	1st	0.3846
chr11	51570000	51575000	chr11-51570000	Noness	1st	0.371
chr11	54800000	54805000	chr11-54800000	Noness	1st	0.3702
chr11	54810000	54815000	chr11-54810000	Noness	1st	0.3832
chr11	54850000	54855000	chr11-54850000	Noness	1st	0.4068
chr11	54880000	54885000	chr11-54880000	Noness	1st	0.3702
chr11	54895000	54900000	chr11-54895000	Noness	1st	0.4056
chr11	54900000	54905000	chr11-54900000	Noness	1st	0.4122
chr11	54910000	54915000	chr11-54910000	Noness	1st	0.3496
chr11	54915000	54920000	chr11-54915000	Noness	1st	0.369
chr11	48760000	48765000	chr11-48760000	Noness	1st	0.372
chr11	54920000	54925000	chr11-54920000	Noness	1st	0.3576
chr11	54925000	54930000	chr11-54925000	Noness	1st	0.3598
chr11	54930000	54935000	chr11-54930000	Noness	1st	0.3568
chr11	54935000	54940000	chr11-54935000	Noness	1st	0.3836
chr11	54940000	54945000	chr11-54940000	Noness	1st	0.397
chr11	54960000	54965000	chr11-54960000	Noness	1st	0.352
chr11	54965000	54970000	chr11-54965000	Noness	1st	0.37
chr11	54980000	54985000	chr11-54980000	Noness	1st	0.361
chr11	54985000	54990000	chr11-54985000	Noness	1st	0.3586
chr11	55050000	55055000	chr11-55050000	Noness	1st	0.4136
chr11	48955000	48960000	chr11-48955000	Noness	1st	0.367
chr11	55055000	55060000	chr11-55055000	Noness	1st	0.3286
chr11	55075000	55080000	chr11-55075000	Noness	1st	0.3488
chr11	55115000	55120000	chr11-55115000	Noness	1st	0.364
chr11	55220000	55225000	chr11-55220000	Noness	1st	0.3396
chr11	55315000	55320000	chr11-55315000	Noness	1st	0.3454
chr11	55350000	55355000	chr11-55350000	Noness	1st	0.4512
chr11	55360000	55365000	chr11-55360000	Noness	1st	0.3518
chr11	55465000	55470000	chr11-55465000	Noness	1st	0.3962
chr11	49015000	49020000	chr11-49015000	Noness	1st	0.3598
chr11	80650000	80655000	chr11-80650000	Noness	1st	0.3352
chr11	81475000	81480000	chr11-81475000	Noness	1st	0.359
chr11	91095000	91100000	chr11-91095000	Noness	1st	0.3756
chr12	8445000	8450000	chr12-8445000	Noness	1st	0.4756
chr12	8460000	8465000	chr12-8460000	Noness	1st	0.4546
chr12	8465000	8470000	chr12-8465000	Noness	1st	0.4686
chr12	8470000	8475000	chr12-8470000	Noness	1st	0.4336
chr12	8590000	8595000	chr12-8590000	Noness	1st	0.4506
chr12	8715000	8720000	chr12-8715000	Noness	1st	0.4112
chr12	9605000	9610000	chr12-9605000	Noness	1st	0.4122
chr12	9620000	9625000	chr12-9620000	Noness	1st	0.4634
chr12	8355000	8360000	chr12-8355000	Noness	1st	0.377
chr12	9625000	9630000	chr12-9625000	Noness	1st	0.4038
chr12	16260000	16265000	chr12-16260000	Noness	1st	0.3808
chr12	16305000	16310000	chr12-16305000	Noness	1st	0.351
chr12	17270000	17275000	chr12-17270000	Noness	1st	0.3938
chr12	17420000	17425000	chr12-17420000	Noness	1st	0.3906
chr12	17535000	17540000	chr12-17535000	Noness	1st	0.324
chr12	17540000	17545000	chr12-17540000	Noness	1st	0.3394
chr12	17565000	17570000	chr12-17565000	Noness	1st	0.366
chr12	17745000	17750000	chr12-17745000	Noness	1st	0.3116
chr12	8400000	8405000	chr12-8400000	Noness	1st	0.4698
chr12	20335000	20340000	chr12-20335000	Noness	1st	0.3752
chr12	30005000	30010000	chr12-30005000	Noness	1st	0.395
chr12	34560000	34565000	chr12-34560000	Noness	1st	0.3606
chr12	34580000	34585000	chr12-34580000	Noness	1st	0.3954
chr12	34620000	34625000	chr12-34620000	Noness	1st	0.41
chr12	34670000	34675000	chr12-34670000	Noness	1st	0.365
chr12	34780000	34785000	chr12-34780000	Noness	1st	0.4022
chr12	8410000	8415000	chr12-8410000	Noness	1st	0.4622
chr12	37900000	37905000	chr12-37900000	Noness	1st	0.3362
chr12	37945000	37950000	chr12-37945000	Noness	1st	0.4442
chr12	37950000	37955000	chr12-37950000	Noness	1st	0.424
chr12	37955000	37960000	chr12-37955000	Noness	1st	0.4342
chr12	37960000	37965000	chr12-37960000	Noness	1st	0.4572
chr12	38005000	38010000	chr12-38005000	Noness	1st	0.3676
chr12	38125000	38130000	chr12-38125000	Noness	1st	0.3686
chr12	38155000	38160000	chr12-38155000	Noness	1st	0.4074
chr12	8415000	8420000	chr12-8415000	Noness	1st	0.4596
chr12	38170000	38175000	chr12-38170000	Noness	1st	0.3688
chr12	38180000	38185000	chr12-38180000	Noness	1st	0.409
chr12	38285000	38290000	chr12-38285000	Noness	1st	0.403
chr12	55205000	55210000	chr12-55205000	Noness	1st	0.402
chr12	64085000	64090000	chr12-64085000	Noness	1st	0.3306
chr12	77855000	77860000	chr12-77855000	Noness	1st	0.3796
chr12	87585000	87590000	chr12-87585000	Noness	1st	0.3554
chr12	100405000	100410000	chr12-100405000	Noness	1st	0.402
chr12	8420000	8425000	chr12-8420000	Noness	1st	0.4952
chr12	8430000	8435000	chr12-8430000	Noness	1st	0.4468
chr12	8435000	8440000	chr12-8435000	Noness	1st	0.4434
chr12	8440000	8445000	chr12-8440000	Noness	1st	0.491
chr13	19260000	19265000	chr13-19260000	Noness	1st	0.3884
chr13	19400000	19405000	chr13-19400000	Noness	1st	0.3614
chr13	19975000	19980000	chr13-19975000	Noness	1st	0.3996
chr13	55705000	55710000	chr13-55705000	Noness	1st	0.3928
chr13	62865000	62870000	chr13-62865000	Noness	1st	0.3468
chr13	72850000	72855000	chr13-72850000	Noness	1st	0.3474
chr13	82130000	82135000	chr13-82130000	Noness	1st	0.3482
chr13	88585000	88590000	chr13-88585000	Noness	1st	0.3004
chr13	19275000	19280000	chr13-19275000	Noness	1st	0.3974
chr13	19280000	19285000	chr13-19280000	Noness	1st	0.4266
chr13	19285000	19290000	chr13-19285000	Noness	1st	0.3928
chr13	19290000	19295000	chr13-19290000	Noness	1st	0.414
chr13	19295000	19300000	chr13-19295000	Noness	1st	0.3922
chr13	19390000	19395000	chr13-19390000	Noness	1st	0.3436
chr14	28280000	28285000	chr14-28280000	Noness	1st	0.3426
chr14	41385000	41390000	chr14-41385000	Noness	1st	0.3494
chr14	44680000	44685000	chr14-44680000	Noness	1st	0.3376
chr14	46080000	46085000	chr14-46080000	Noness	1st	0.3578
chr14	106090000	106095000	chr14-106090000	Noness	1st	0.6542
chr14	106115000	106120000	chr14-106115000	Noness	1st	0.5664
chr14	106450000	106455000	chr14-106450000	Noness	1st	0.4662
chr14	106820000	106825000	chr14-106820000	Noness	1st	0.4308
chr14	107225000	107230000	chr14-107225000	Noness	1st	0.3352
chr15	22540000	22545000	chr15-22540000	Noness	1st	0.5216
chr15	22765000	22770000	chr15-22765000	Noness	1st	0.3458
chr15	22820000	22825000	chr15-22820000	Noness	1st	0.4858
chr15	23160000	23165000	chr15-23160000	Noness	1st	0.4636
chr15	23220000	23225000	chr15-23220000	Noness	1st	0.3924
chr15	28970000	28975000	chr15-28970000	Noness	1st	0.4368
chr15	29025000	29030000	chr15-29025000	Noness	1st	0.4842
chr15	31140000	31145000	chr15-31140000	Noness	1st	0.3884
chr15	31960000	31965000	chr15-31960000	Noness	1st	0.4268
chr15	102325000	102330000	chr15-102325000	Noness	1st	0.3424
chr15	20180000	20185000	chr15-20180000	Noness	1st	0.3762
chr15	20185000	20190000	chr15-20185000	Noness	1st	0.3724
chr15	20190000	20195000	chr15-20190000	Noness	1st	0.3696
chr15	22405000	22410000	chr15-22405000	Noness	1st	0.3958
chr16	15235000	15240000	chr16-15235000	Noness	1st	0.6626
chr16	29145000	29150000	chr16-29145000	Noness	1st	0.5266
chr16	29215000	29220000	chr16-29215000	Noness	1st	0.4234
chr16	29220000	29225000	chr16-29220000	Noness	1st	0.4934
chr16	29225000	29230000	chr16-29225000	Noness	1st	0.428
chr16	29230000	29235000	chr16-29230000	Noness	1st	0.5478
chr16	29235000	29240000	chr16-29235000	Noness	1st	0.508
chr16	29240000	29245000	chr16-29240000	Noness	1st	0.5934
chr16	15480000	15485000	chr16-15480000	Noness	1st	0.4406
chr16	29250000	29255000	chr16-29250000	Noness	1st	0.4236
chr16	29255000	29260000	chr16-29255000	Noness	1st	0.449
chr16	29275000	29280000	chr16-29275000	Noness	1st	0.5396
chr16	29285000	29290000	chr16-29285000	Noness	1st	0.4696
chr16	29290000	29295000	chr16-29290000	Noness	1st	0.4108
chr16	29295000	29300000	chr16-29295000	Noness	1st	0.5416
chr16	29420000	29425000	chr16-29420000	Noness	1st	0.4366
chr16	16675000	16680000	chr16-16675000	Noness	1st	0.4652
chr16	29430000	29435000	chr16-29430000	Noness	1st	0.491
chr16	29585000	29590000	chr16-29585000	Noness	1st	0.474
chr16	29590000	29595000	chr16-29590000	Noness	1st	0.371
chr16	29595000	29600000	chr16-29595000	Noness	1st	0.4468
chr16	29600000	29605000	chr16-29600000	Noness	1st	0.4232
chr16	29615000	29620000	chr16-29615000	Noness	1st	0.5484
chr16	29630000	29635000	chr16-29630000	Noness	1st	0.4914
chr16	32380000	32385000	chr16-32380000	Noness	1st	0.4006
chr16	18250000	18255000	chr16-18250000	Noness	1st	0.4032
chr16	32405000	32410000	chr16-32405000	Noness	1st	0.3568
chr16	32450000	32455000	chr16-32450000	Noness	1st	0.4248
chr16	32470000	32475000	chr16-32470000	Noness	1st	0.4288
chr16	32475000	32480000	chr16-32475000	Noness	1st	0.384
chr16	32480000	32485000	chr16-32480000	Noness	1st	0.4704
chr16	32485000	32490000	chr16-32485000	Noness	1st	0.6134
chr16	32515000	32520000	chr16-32515000	Noness	1st	0.3782
chr16	33435000	33440000	chr16-33435000	Noness	1st	0.4068
chr16	33440000	33445000	chr16-33440000	Noness	1st	0.3968
chr16	33445000	33450000	chr16-33445000	Noness	1st	0.417
chr16	33450000	33455000	chr16-33450000	Noness	1st	0.413
chr16	33995000	34000000	chr16-33995000	Noness	1st	0.3758
chr16	34000000	34005000	chr16-34000000	Noness	1st	0.3816
chr16	34320000	34325000	chr16-34320000	Noness	1st	0.3452
chr16	35190000	35195000	chr16-35190000	Noness	1st	0.4164
chr16	35215000	35220000	chr16-35215000	Noness	1st	0.3624
chr16	35245000	35250000	chr16-35245000	Noness	1st	0.3678
chr16	46465000	46470000	chr16-46465000	Noness	1st	0.3544
chr16	60515000	60520000	chr16-60515000	Noness	1st	0.3656
chr16	70130000	70135000	chr16-70130000	Noness	1st	0.4028
chr16	70140000	70145000	chr16-70140000	Noness	1st	0.4876
chr16	76270000	76275000	chr16-76270000	Noness	1st	0.365
chr16	29140000	29145000	chr16-29140000	Noness	1st	0.622
chr17	40000	45000	chr17-40000	Noness	1st	0.5996
chr17	18615000	18620000	chr17-18615000	Noness	1st	0.3958
chr17	18715000	18720000	chr17-18715000	Noness	1st	0.3798
chr17	18720000	18725000	chr17-18720000	Noness	1st	0.4328
chr17	20470000	20475000	chr17-20470000	Noness	1st	0.5284
chr17	20520000	20525000	chr17-20520000	Noness	1st	0.4148
chr17	20535000	20540000	chr17-20535000	Noness	1st	0.4636
chr17	20540000	20545000	chr17-20540000	Noness	1st	0.4774
chr17	20550000	20555000	chr17-20550000	Noness	1st	0.4544
chr17	20645000	20650000	chr17-20645000	Noness	1st	0.3818
chr17	15650000	15655000	chr17-15650000	Noness	1st	0.4638
chr17	20690000	20695000	chr17-20690000	Noness	1st	0.4536
chr17	20735000	20740000	chr17-20735000	Noness	1st	0.3396
chr17	21530000	21535000	chr17-21530000	Noness	1st	0.4112
chr17	21540000	21545000	chr17-21540000	Noness	1st	0.3772
chr17	21700000	21705000	chr17-21700000	Noness	1st	0.3212
chr17	21750000	21755000	chr17-21750000	Noness	1st	0.4672
chr17	21770000	21775000	chr17-21770000	Noness	1st	0.3384
chr17	21850000	21855000	chr17-21850000	Noness	1st	0.4436
chr17	21855000	21860000	chr17-21855000	Noness	1st	0.4418
chr17	15730000	15735000	chr17-15730000	Noness	1st	0.4266
chr17	21860000	21865000	chr17-21860000	Noness	1st	0.448
chr17	21880000	21885000	chr17-21880000	Noness	1st	0.3874
chr17	21945000	21950000	chr17-21945000	Noness	1st	0.4478
chr17	22000000	22005000	chr17-22000000	Noness	1st	0.4662
chr17	22035000	22040000	chr17-22035000	Noness	1st	0.3372
chr17	22040000	22045000	chr17-22040000	Noness	1st	0.315
chr17	22050000	22055000	chr17-22050000	Noness	1st	0.4214
chr17	22060000	22065000	chr17-22060000	Noness	1st	0.3086
chr17	22065000	22070000	chr17-22065000	Noness	1st	0.4596
chr17	16585000	16590000	chr17-16585000	Noness	1st	0.4524
chr17	22135000	22140000	chr17-22135000	Noness	1st	0.384
chr17	22160000	22165000	chr17-22160000	Noness	1st	0.349
chr17	22165000	22170000	chr17-22165000	Noness	1st	0.4164
chr17	22195000	22200000	chr17-22195000	Noness	1st	0.3482
chr17	22230000	22235000	chr17-22230000	Noness	1st	0.3654
chr17	30385000	30390000	chr17-30385000	Noness	1st	0.516
chr17	30410000	30415000	chr17-30410000	Noness	1st	0.5782
chr17	36425000	36430000	chr17-36425000	Noness	1st	0.4548
chr17	36440000	36445000	chr17-36440000	Noness	1st	0.4732
chr17	45575000	45580000	chr17-45575000	Noness	1st	0.484
chr17	45590000	45595000	chr17-45590000	Noness	1st	0.4614
chr17	51645000	51650000	chr17-51645000	Noness	1st	0.345
chr17	62835000	62840000	chr17-62835000	Noness	1st	0.4688
chr17	68710000	68715000	chr17-68710000	Noness	1st	0.3512
chr17	18595000	18600000	chr17-18595000	Noness	1st	0.4576
chr17	18600000	18605000	chr17-18600000	Noness	1st	0.4516
chr17	18605000	18610000	chr17-18605000	Noness	1st	0.4354
chr18	14280000	14285000	chr18-14280000	Noness	1st	0.4684
chr18	14740000	14745000	chr18-14740000	Noness	1st	0.3528
chr18	14900000	14905000	chr18-14900000	Noness	1st	0.3924
chr18	14940000	14945000	chr18-14940000	Noness	1st	0.4954
chr18	14975000	14980000	chr18-14975000	Noness	1st	0.4762
chr18	14985000	14990000	chr18-14985000	Noness	1st	0.5042
chr18	14990000	14995000	chr18-14990000	Noness	1st	0.505
chr18	15000000	15005000	chr18-15000000	Noness	1st	0.6526
chr18	15005000	15010000	chr18-15005000	Noness	1st	0.4928
chr18	15050000	15055000	chr18-15050000	Noness	1st	0.382
chr18	14285000	14290000	chr18-14285000	Noness	1st	0.4608
chr18	15060000	15065000	chr18-15060000	Noness	1st	0.418
chr18	15165000	15170000	chr18-15165000	Noness	1st	0.3848
chr18	49780000	49785000	chr18-49780000	Noness	1st	0.3762
chr18	51500000	51505000	chr18-51500000	Noness	1st	0.3838
chr18	62330000	62335000	chr18-62330000	Noness	1st	0.3216
chr18	62490000	62495000	chr18-62490000	Noness	1st	0.3564
chr18	65015000	65020000	chr18-65015000	Noness	1st	0.3408
chr18	65710000	65715000	chr18-65710000	Noness	1st	0.3178
chr18	66135000	66140000	chr18-66135000	Noness	1st	0.3566
chr18	14315000	14320000	chr18-14315000	Noness	1st	0.4584
chr18	66290000	66295000	chr18-66290000	Noness	1st	0.374
chr18	66735000	66740000	chr18-66735000	Noness	1st	0.3292
chr18	69045000	69050000	chr18-69045000	Noness	1st	0.337
chr18	70685000	70690000	chr18-70685000	Noness	1st	0.3956
chr18	71245000	71250000	chr18-71245000	Noness	1st	0.3382
chr18	71280000	71285000	chr18-71280000	Noness	1st	0.4072
chr18	14350000	14355000	chr18-14350000	Noness	1st	0.3546
chr18	14695000	14700000	chr18-14695000	Noness	1st	0.387
chr18	14700000	14705000	chr18-14700000	Noness	1st	0.4014
chr18	14705000	14710000	chr18-14705000	Noness	1st	0.3682
chr18	14725000	14730000	chr18-14725000	Noness	1st	0.3788
chr18	14730000	14735000	chr18-14730000	Noness	1st	0.355
chr19	24315000	24320000	chr19-24315000	Noness	1st	0.381
chr19	37540000	37545000	chr19-37540000	Noness	1st	0.4114
chr2	89290000	89295000	chr2-89290000	Noness	1st	0.4082
chr2	90105000	90110000	chr2-90105000	Noness	1st	0.4066
chr2	90115000	90120000	chr2-90115000	Noness	1st	0.4152
chr2	90235000	90240000	chr2-90235000	Noness	1st	0.3904
chr2	90240000	90245000	chr2-90240000	Noness	1st	0.3744
chr2	90245000	90250000	chr2-90245000	Noness	1st	0.4072
chr2	41305000	41310000	chr2-41305000	Noness	1st	0.3482
chr2	96510000	96515000	chr2-96510000	Noness	1st	0.3652
chr2	107105000	107110000	chr2-107105000	Noness	1st	0.5054
chr2	107120000	107125000	chr2-107120000	Noness	1st	0.476
chr2	130960000	130965000	chr2-130960000	Noness	1st	0.4564
chr2	132465000	132470000	chr2-132465000	Noness	1st	0.3384
chr2	185095000	185100000	chr2-185095000	Noness	1st	0.3826
chr2	189690000	189695000	chr2-189690000	Noness	1st	0.3654
chr2	41775000	41780000	chr2-41775000	Noness	1st	0.361
chr2	193205000	193210000	chr2-193205000	Noness	1st	0.3268
chr2	193215000	193220000	chr2-193215000	Noness	1st	0.3494
chr2	193290000	193295000	chr2-193290000	Noness	1st	0.3618
chr2	193920000	193925000	chr2-193920000	Noness	1st	0.3234
chr2	194630000	194635000	chr2-194630000	Noness	1st	0.3186
chr2	194945000	194950000	chr2-194945000	Noness	1st	0.3186
chr2	195030000	195035000	chr2-195030000	Noness	1st	0.2988
chr2	195050000	195055000	chr2-195050000	Noness	1st	0.3466
chr2	196095000	196100000	chr2-196095000	Noness	1st	0.382
chr2	196135000	196140000	chr2-196135000	Noness	1st	0.3392
chr2	57455000	57460000	chr2-57455000	Noness	1st	0.4012
chr2	210240000	210245000	chr2-210240000	Noness	1st	0.3672
chr2	210275000	210280000	chr2-210275000	Noness	1st	0.316
chr2	211690000	211695000	chr2-211690000	Noness	1st	0.34
chr2	211710000	211715000	chr2-211710000	Noness	1st	0.362
chr2	212195000	212200000	chr2-212195000	Noness	1st	0.3596
chr2	213575000	213580000	chr2-213575000	Noness	1st	0.3734
chr2	213765000	213770000	chr2-213765000	Noness	1st	0.3852
chr2	213855000	213860000	chr2-213855000	Noness	1st	0.3652
chr2	221160000	221165000	chr2-221160000	Noness	1st	0.4014
chr2	78920000	78925000	chr2-78920000	Noness	1st	0.3116
chr2	221605000	221610000	chr2-221605000	Noness	1st	0.351
chr2	222130000	222135000	chr2-222130000	Noness	1st	0.3734
chr2	222645000	222650000	chr2-222645000	Noness	1st	0.4214
chr2	224365000	224370000	chr2-224365000	Noness	1st	0.3736
chr2	226890000	226895000	chr2-226890000	Noness	1st	0.3554
chr2	227290000	227295000	chr2-227290000	Noness	1st	0.3864
chr2	228810000	228815000	chr2-228810000	Noness	1st	0.419
chr2	229250000	229255000	chr2-229250000	Noness	1st	0.3726
chr2	78945000	78950000	chr2-78945000	Noness	1st	0.33
chr2	81105000	81110000	chr2-81105000	Noness	1st	0.4338
chr2	89275000	89280000	chr2-89275000	Noness	1st	0.3936
chr2	89285000	89290000	chr2-89285000	Noness	1st	0.381
chr20	6770000	6775000	chr20-6770000	Noness	1st	0.399
chr20	25855000	25860000	chr20-25855000	Noness	1st	0.3906
chr20	25870000	25875000	chr20-25870000	Noness	1st	0.332
chr20	25875000	25880000	chr20-25875000	Noness	1st	0.3966
chr20	25885000	25890000	chr20-25885000	Noness	1st	0.348
chr20	25890000	25895000	chr20-25890000	Noness	1st	0.3512
chr20	25900000	25905000	chr20-25900000	Noness	1st	0.3428
chr20	25905000	25910000	chr20-25905000	Noness	1st	0.359
chr20	25915000	25920000	chr20-25915000	Noness	1st	0.3546
chr20	25920000	25925000	chr20-25920000	Noness	1st	0.3628
chr20	25925000	25930000	chr20-25925000	Noness	1st	0.328
chr20	12360000	12365000	chr20-12360000	Noness	1st	0.4366
chr20	25930000	25935000	chr20-25930000	Noness	1st	0.3286
chr20	25955000	25960000	chr20-25955000	Noness	1st	0.4712
chr20	26075000	26080000	chr20-26075000	Noness	1st	0.4946
chr20	26100000	26105000	chr20-26100000	Noness	1st	0.4102
chr20	26105000	26110000	chr20-26105000	Noness	1st	0.3836
chr20	26110000	26115000	chr20-26110000	Noness	1st	0.4102
chr20	26115000	26120000	chr20-26115000	Noness	1st	0.476
chr20	26120000	26125000	chr20-26120000	Noness	1st	0.3128
chr20	26130000	26135000	chr20-26130000	Noness	1st	0.3548
chr20	12575000	12580000	chr20-12575000	Noness	1st	0.381
